,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
0,AK,2005,74262,9.47,R,30.1,128.1,189.8,184.6,129.8,64.4,18.2,8.4,28.8,31.4,21.2,12.4,7.1,3.2,80.3,39.9,129.3,134.4,96.8,47.1,12.3,6.82,9.47,195.3,9.47,9.47
1,AL,2005,49361,0,R,38.6,118.7,165.8,154.8,100.5,40.7,8.3,7,19.2,23.2,16.9,10.2,4.9,1.4,81.3,48.1,116.9,113.5,74.4,29.4,5.6,6.82,6.82,195.3,0,0
2,AR,2005,48707,6.82,R,40.7,139,183.4,155.8,97,38.2,7.9,5.7,12.8,18.1,12.8,9.2,4.9,1.4,104.1,58.6,136.2,118.1,72.4,27.4,5.3,6.82,6.82,195.3,6.82,6.82
3,AZ,2005,60116,0,D,51.2,150.6,198,181.5,140.1,65.1,14.8,9.2,31.2,34.5,21.4,13.8,8.2,2.9,96.9,58.7,133.4,131.6,104.1,46.8,9.6,6.82,6.82,195.3,0,0
4,CA,2005,68766,8.94,R,42.1,129.2,178.2,178,153.2,83.7,22.3,15.4,44,53.6,38.3,23.8,13.6,4.9,67.4,38.7,99.3,113.2,105.9,57.3,14.1,6.82,8.94,195.3,8.94,8.94
5,CA,2005,68766,8.94,R,42.1,129.2,178.2,178,153.2,83.7,22.3,15.4,44,53.6,38.3,23.8,13.6,4.9,67.4,38.7,99.3,113.2,105.9,57.3,14.1,6.82,8.94,195.3,8.94,8.94
6,CA,2005,68766,8.94,R,42.1,129.2,178.2,178,153.2,83.7,22.3,15.4,44,53.6,38.3,23.8,13.6,4.9,67.4,38.7,99.3,113.2,105.9,57.3,14.1,6.82,8.94,195.3,8.94,8.94
7,CO,2005,67031,6.82,R,38.8,113.4,154.3,162.8,136.6,71.5,15.9,9.3,27.5,30.5,19.7,12.5,8,3.1,69.3,41.8,100.6,117.6,102.4,52.3,10.5,6.82,6.82,195.3,6.82,6.82
8,CO,2005,67031,6.82,R,38.8,113.4,154.3,162.8,136.6,71.5,15.9,9.3,27.5,30.5,19.7,12.5,8,3.1,69.3,41.8,100.6,117.6,102.4,52.3,10.5,6.82,6.82,195.3,6.82,6.82
9,CT,2005,75516,9.4,R,34,95.1,144.8,167.9,159.5,82.7,18.2,17.7,41.2,56.2,41.3,21.3,11.2,3.3,41.5,23.3,69.2,102.1,113.5,58.7,12.1,6.82,9.4,195.3,9.4,9.4
10,DC,2005,59782,,D,106.1,113.3,152.3,133.3,129.5,99.8,33.2,56,52.9,69.2,55,37.1,24.4,9.7,46,42.1,63.5,60.6,73.9,60.7,18.7,,,,,
11,DE,2005,68075,8.15,D,44.3,117.5,177.7,168.7,145.1,64.9,13.3,16.7,35.8,51,33.2,19.1,10.9,3.1,65.1,40.1,101.3,110.2,103.4,44.1,8.3,6.82,8.15,195.3,8.15,8.15
12,FL,2005,57120,0,R,42,134.9,179.6,177.1,132.9,65.6,15.7,14.6,40.8,49.6,37.9,22.3,12.3,4,75,42.3,104.2,112.8,90.3,43.4,9.4,6.82,6.82,195.3,0,0
13,GA,2005,61021,6.82,R,42.4,135.6,184.4,171.5,126.6,59.4,12.8,8.8,24.2,32.2,25.2,15.4,8.2,2.5,90.9,52,124.2,119.8,91.3,42,8.3,6.82,6.82,195.3,6.82,6.82
